"id","city_ar","city_en","name_ar","name_en","address_ar","address_en","link","phone","createdAt","updatedAt"
"111","المنطقة الشرقية","Eastern region","الدمام - الشاطئ ","Dammam – Al-Shati’","الدمام - الشاطئ","Dammam – Al-Shati’","https://maps.app.goo.gl/FW97Wq9FrbYvvXpU6","920016097","2026-01-29 13:03:28.580","2026-01-29 13:03:28.580"
"112","المنطقة الوسطى"," central region","الزلفي - التحلية","Al-Zulfi - Al-Tahlil","الزلفي - التحلية","Al-Zulfi - Al-Tahlil","https://maps.app.goo.gl/Y91ACRmhsUKM4s2o8","920016097","2026-01-29 13:03:54.529","2026-01-29 13:03:54.529"
"113","المنطقة الوسطى"," central region","الدوادمي-الريان","Al Dawadmi-Al Rayyan","الدوادمي-الريان","Al Dawadmi-Al Rayyan","https://maps.app.goo.gl/68PLR22zyQ6YFLKq9","920016097","2026-01-29 13:04:35.497","2026-01-29 13:04:35.497"
"114","المنطقة الشرقية","Eastern region","سيهات - الكوثر","Saihat - Al Kawthar","سيهات - الكوثر","Saihat - Al Kawthar","https://maps.app.goo.gl/eR3NyBFg8jgXiFnUA","920016097","2026-01-29 13:05:29.037","2026-01-29 13:05:29.037"
"115","المنطقة الوسطى"," central region","الرياض-العزيزية","Riyadh-Al Aziziyah","الرياض-العزيزية","Riyadh-Al Aziziyah","https://maps.app.goo.gl/zDbBuBdChLJQx4N19","920016097","2026-01-29 13:05:33.669","2026-01-29 13:05:33.669"
"116","المنطقة الوسطى"," central region","سدير الجديد - محطة لودر","New Sudair - Loader Fuel Station","سدير الجديد - محطة لودر","New Sudair - Loader Fuel Station","https://maps.app.goo.gl/MuRaknSP3JEphQum9","920016097","2026-01-29 13:06:43.992","2026-01-29 13:06:43.992"
"117","المنطقة الشرقية","Eastern region","الأحساء السلطانية - العيون","Al-Ahsa Sultanate - Al-Uyun","الأحساء السلطانية - العيون","Al-Ahsa Sultanate - Al-Uyun","https://maps.app.goo.gl/VHHQXYE5d1aYajLn6","920016097","2026-01-29 13:07:59.016","2026-01-29 13:07:59.016"
"118","المنطقة الوسطى"," central region","الرس - الحزم","Ar-Rass - Al-Hazm","الرس  الحزم","Ar-Rass - Al-Hazm","https://maps.app.goo.gl/NSBH8CGwXmEG8DAV9","920016097","2026-01-29 13:08:52.437","2026-01-29 13:08:52.437"
"119","المنطقة الوسطى"," central region","البكيرية - طريق الملك عبدالله","Al-Bukairiyah - King Abdullah Road","البكيرية - طريق الملك عبدالله","Al-Bukairiyah - King Abdullah Road","https://maps.app.goo.gl/9hffLMFcsNTjJ5799","920016097","2026-01-29 13:10:03.188","2026-01-29 13:10:03.188"
"120","المنطقة الغربية ","Western Region","مكة - النورية","Mecca - Al-Nouriya","مكة النورية","Mecca - Al-Nouriya","https://maps.app.goo.gl/HUoih3YWhqYNqxGo7","920016097","2026-01-29 13:11:18.815","2026-01-29 13:11:18.815"
"121","المنطقة الوسطى"," central region","الرياض - القيروان","Riyadh - Kairouan","الرياض - القيروان","Riyadh - Kairouan","https://maps.app.goo.gl/ZugjPd4VhaEGekZ86","920016097","2026-01-29 13:11:58.795","2026-01-29 13:11:58.795"
"122","المنطقة الوسطى"," central region","الرياض - الجنادرية","Riyadh - Al-Janadriyah","الرياض - الجنادرية","Riyadh - Al-Janadriyah","https://maps.app.goo.gl/2YeB4YY3vitLEpsn7","920016097","2026-01-29 13:12:41.989","2026-01-29 13:12:41.989"
"123","المنطقة الوسطى"," central region","الرياض - تلال الرمال","Riyadh - Sand Dunes","الرياض تلال الرمال","Riyadh - Sand Dunes","https://maps.app.goo.gl/2HAPKv3TNtKwKdQV6","920016097","2026-01-29 13:13:32.114","2026-01-29 13:13:32.114"
"124","المنطقة الشمالية ","Northern Region","سكاكا - السليمانية","Sakaka - Al Sulaymaniyah","سكاكا  السليمانية","Sakaka - Al Sulaymaniyah","https://maps.app.goo.gl/GwMbURZJ6aKfyqYE9","920016097","2026-01-29 13:14:24.857","2026-01-29 13:14:24.857"
"125","المنطقة الغربية ","Western Region","الطائف - تيرا مول ","Taif - Tera Mall","الطائف - تيرا مول ","Taif - Tera Mall","https://maps.app.goo.gl/JcpHX8ReCn1Cncar6","920016097","2026-02-01 09:23:24.470","2026-02-01 09:23:24.470"
"126","المنطقة الغربية ","Western Region","رابغ - الصبوح","Rabigh - Al-Sabouh","رابغ - الصبوح","Rabigh - Al-Sabouh","https://maps.app.goo.gl/Cu7zzURzpZF285Ba8","920016097","2026-02-01 09:25:38.414","2026-02-01 09:25:38.414"
"127","المنطقة الجنوبية ","southern region","نجران - حبونا ","Najran - Habouna","نجران - حبونا ","Najran - Habouna","https://maps.app.goo.gl/yEWrtihyBoedE2NQ9","920016097","2026-02-01 09:29:36.821","2026-02-01 09:29:36.821"
"128","المنطقة الوسطى"," central region","الرياض - طريق حمزة ","Riyadh - Hamza Road","الرياض - طريق حمزة ","Riyadh - Hamza Road","https://maps.app.goo.gl/o6PfGAbQQtnbsy6F7","920016097","2026-02-01 09:49:54.197","2026-02-01 09:49:54.197"
"129","المنطقة الوسطى"," central region","الرياض - عكاظ","Riyadh - Okaz","الرياض - عكاظ","Riyadh - Okaz","https://maps.app.goo.gl/8XKsdzg1q7tUrvFe6","920016097","2026-02-01 09:51:15.978","2026-02-01 09:51:15.978"
"130","المنطقة الوسطى"," central region","الرياض - طريق الدمام ","Riyadh - Dammam Road","الرياض - طريق الدمام ","Riyadh - Dammam Road","https://maps.app.goo.gl/qwTTp7moqNMgRLaX9","920016097","2026-02-01 09:52:12.963","2026-02-01 09:52:12.963"
"131","خارج المملكة العربية السعودية "," central region","الاردن - غوشة ","Jordan - Ghosha","الاردن - غوشة ","Jordan - Ghosha","https://maps.app.goo.gl/zABBGMMtYW8FWHpS8","920016097","2026-02-01 09:55:20.442","2026-02-01 09:55:20.442"
"132","خارج المملكة العربية السعودية "," central region","قطر - الدوحة ","Qatar - Doha","قطر - الدوحة ","Qatar - Doha","https://maps.app.goo.gl/52Nj5TtLCQGMg7VA8","920016097","2026-02-01 09:56:54.818","2026-02-01 09:56:54.818"
"133","خارج المملكة العربية السعودية "," central region","الكويت - مبارك الكبير ","Kuwait - Mubarak Al-Kabeer","الكويت - مبارك الكبير ","Kuwait - Mubarak Al-Kabeer","https://maps.app.goo.gl/XLcdW4MAfXk17nDF9","920016097","2026-02-01 09:57:55.176","2026-02-01 09:57:55.176"
"134","المنطقة الغربية ","Western Region","جدة - المروة","Jeddah - Al Marwa","جدة - المروة","Jeddah - Al Marwa","https://maps.app.goo.gl/F6hLyWe3Qe2AckFHA","920016097","2026-02-02 08:16:32.492","2026-02-02 08:17:51.035"
"135","المنطقة الوسطى"," central region","الرياض - بدر","Riyadh - Bader","الرياض - بدر","Riyadh - Bader","https://maps.app.goo.gl/7RL6mfKmrx2uV4Wh6","920016097","2026-02-02 08:21:26.119","2026-02-02 08:21:26.119"
"136","المنطقة الغربية ","Western Region","المدينة المنورة - الدفاع طريق الإمام البخاري","Medina - Imam Bukhari Road","المدينة المنورة - الدفاع طريق الإمام البخاري","Medina - Imam Bukhari Road","https://maps.app.goo.gl/wDtXr49t6cbZxW3eA","920016097","2026-02-02 08:24:33.880","2026-02-02 08:24:33.880"
"137","المنطقة الوسطى"," central region","الرياض - المعيقلية ","Riyadh - Al-Muaiqiliyah","الرياض - المعيقلية ","Riyadh - Al-Muaiqiliyah","https://maps.app.goo.gl/en96MArVkak8t5Kt7","920016097","2026-02-02 08:26:01.143","2026-02-02 08:26:01.143"
"138","المنطقة الوسطى"," central region","الرياض - الصناعية الثانية","Riyadh - Second Industrial City","الرياض - الصناعية الثانية","Riyadh - Second Industrial City","https://maps.app.goo.gl/9S3Tnb6RfvRG4TfM9","920016097","2026-02-02 08:27:18.735","2026-02-02 08:27:18.735"
"139","المنطقة الوسطى"," central region","الرياض - الدائري الشرقي","Riyadh - Eastern Ring Road","الرياض - الدائري الشرقي","Riyadh - Eastern Ring Road","https://maps.app.goo.gl/Zp3mHpLRDVv5vAbX9","920016097","2026-02-02 08:29:40.985","2026-02-02 08:29:40.985"
"140","المنطقة الوسطى"," central region","الرياض - الشميسي","Riyadh - Al-Shumaisi","الرياض - الشميسي","Riyadh - Al-Shumaisi","https://maps.app.goo.gl/czXv7mWEEDJydDJZ9","920016097","2026-02-02 08:30:51.141","2026-02-02 08:30:51.141"
"141","المنطقة الوسطى"," central region","الرياض - ظهرة لبن ","Riyadh - Dhahrat Laban","الرياض - ظهرة لبن ","Riyadh - Dhahrat Laban","https://maps.app.goo.gl/i51KX2UrWYp6pEtK9","920016097","2026-02-02 08:31:47.998","2026-02-02 09:11:05.280"
"142","المنطقة الوسطى"," central region","الرياض - طريق الخرج","Riyadh - Al Kharj Road","الرياض - طريق الخرج","Riyadh - Al Kharj Road","https://maps.app.goo.gl/5UAB41qXXTxUuLap8","920016097","2026-02-02 09:06:49.981","2026-02-02 09:06:49.981"
"143","المنطقة الوسطى"," central region","الرياض - النسيم ","Riyadh - Al Naseem","الرياض - النسيم ","Riyadh - Al Naseem","https://maps.app.goo.gl/GUHcaLC73UPVsagZA","920016097","2026-02-02 09:08:17.755","2026-02-02 09:10:52.266"
"144","المنطقة الوسطى"," central region","الرياض - طريق ديراب ","Riyadh - Dirab Road","الرياض - طريق ديراب ","Riyadh - Dirab Road","https://maps.app.goo.gl/5UBq6Po2J1Z2fotTA","920016097","2026-02-02 09:09:14.971","2026-02-02 09:10:42.213"
"145","المنطقة الوسطى"," central region","الرياض - المحمدية","Riyadh - Al-Muhammadiyah","الرياض - المحمدية","Riyadh - Al-Muhammadiyah","https://maps.app.goo.gl/zBk535eXd6beyELv7","920016097","2026-02-02 09:10:25.106","2026-02-02 09:10:25.106"
"146","المنطقة الوسطى"," central region","الرياض - العريجاء","Riyadh - Al-Uraija","الرياض - العريجاء","Riyadh - Al-Uraija","https://maps.app.goo.gl/zA9VNDCuCKm8sKy29","920016097","2026-02-02 09:12:45.489","2026-02-02 09:12:45.489"
"147","المنطقة الوسطى"," central region","الرياض - المناخ","Riyadh - Almunakh","الرياض - المناخ","Riyadh - Almunakh","https://maps.app.goo.gl/LL2hg4jFVxGxQbCz5","920016097","2026-02-02 09:14:36.814","2026-02-02 09:14:36.814"
"148","المنطقة الوسطى"," central region","الرياض - الموسى","Riyadh - Al-Mousa","الرياض - الموسى","Riyadh - Al-Mousa","https://maps.app.goo.gl/GVPmrhSKeLQQHtqY6","920016097","2026-02-02 09:15:33.223","2026-02-02 09:15:33.223"
"149","المنطقة الوسطى"," central region","الرياض - البيان","Riyadh - Al-Bayan","الرياض - البيان","Riyadh - Al-Bayan","https://maps.app.goo.gl/BVNnvSdDUeWsMjXb6","920016097","2026-02-02 09:17:14.873","2026-02-02 09:17:22.516"
"150","المنطقة الوسطى"," central region","الرياض - الأندلس","Riyadh - Andalusia","الرياض - الأندلس","Riyadh - Andalusia","https://maps.app.goo.gl/gCvv2PGsPPeLoKH36","920016097","2026-02-02 09:18:25.534","2026-02-02 09:18:25.534"
"151","المنطقة الوسطى"," central region","الرياض - طريق المطار","Riyadh - Airport Road","الرياض - طريق المطار","Riyadh - Airport Road","https://maps.app.goo.gl/b5k6hpbXPhhNbmNGA","920016097","2026-02-02 09:19:26.524","2026-02-02 09:19:26.524"
"152","المنطقة الوسطى"," central region","الخرج - القاعدة الجوية","Al-Kharj - Alqaeidat Aljawiya","الخرج - القاعدة الجوية","Al-Kharj - Alqaeidat Aljawiya","https://maps.app.goo.gl/vY681rWbCRquUKC17","920016097","2026-02-02 09:32:19.508","2026-02-02 09:32:19.508"
"153","المنطقة الوسطى"," central region","المزاحمية - الجزالا","Al-Muzahmiya - Al-Jazala","المزاحمية - الجزالا","Al-Muzahmiya - Al-Jazala","https://maps.app.goo.gl/E9bZbJRFX4Wb2KtT6","920016097","2026-02-02 09:40:39.037","2026-02-02 09:40:39.037"
"154","المنطقة الوسطى"," central region","عفيف - طريق الملك سلمان ","Afif - King Salman Road","عفيف - طريق الملك سلمان ","Afif - King Salman Road","https://maps.app.goo.gl/W4pGWLDkSoG4jYf56","920016097","2026-02-02 09:41:40.089","2026-02-02 09:41:40.089"
"155","المنطقة الوسطى"," central region","الجبيلة - طريق الأمير سلطان","Al-Jubailah - Prince Sultan Road","الجبيلة - طريق الأمير سلطان","Al-Jubailah - Prince Sultan Road","https://maps.app.goo.gl/FCTtP9TKeZuzFC3Y9","920016097","2026-02-02 09:42:48.562","2026-02-02 09:42:48.562"
"156","المنطقة الوسطى"," central region","الرياض - العارض - طريق أبو بكر","Riyadh - Al-Aridh - Abu Bakr Road","الرياض - العارض - طريق أبو بكر","Riyadh - Al-Aridh - Abu Bakr Road","https://maps.app.goo.gl/cCucXRB6Ab5kjZP38","920016097","2026-02-02 09:44:19.941","2026-02-02 09:44:19.941"
"157","المنطقة الجنوبية ","southern region","أبها - الجوحان - المنسك ","Abha - Al-Jawhan - Al-Mansak","أبها - الجوحان - المنسك ","Abha - Al-Jawhan - Al-Mansak","https://maps.app.goo.gl/12NpTMxmRnbPWj5d9","920016097","2026-02-02 09:50:07.787","2026-02-02 09:50:07.787"
"158","المنطقة الشرقية","Eastern region","الجبيل - طيبة ","Jubail - Taiba","الجبيل - طيبة ","Jubail - Taiba","https://maps.app.goo.gl/et8pKqYhsJYDvC8z5","920016097","2026-02-02 09:51:07.508","2026-02-02 09:51:07.508"
"159","المنطقة الشرقية","Eastern region","الأحساء - النايفية","Al-Ahsaa - Al-Naifiyah","الأحساء - النايفية","Al-Ahsaa - Al-Naifiyah","https://maps.app.goo.gl/QhuEhRSFzhV9aLys8","920016097","2026-02-02 09:54:45.766","2026-02-02 09:54:45.766"
"160","المنطقة الشرقية","Eastern region","الجبيل - الفناتير","Jubail - Fanateer","الجبيل - الفناتير","Jubail - Fanateer","https://maps.app.goo.gl/ru2bngEFM5HGFRDT9","920016097","2026-02-02 09:56:15.692","2026-02-02 09:56:15.692"
"161","المنطقة الوسطى"," central region","بريدة - البساتين","Buraydah - Al-Basatin","بريدة - البساتين","Buraydah - Al-Basatin","https://maps.app.goo.gl/eXkmcqEJhNqxxoGT7","920016097","2026-02-02 09:57:48.263","2026-02-02 09:57:48.263"
"162","المنطقة الجنوبية ","southern region","نجران - الجامعة","Najran - Aljamiea","نجران - الجامعة","Najran - Aljamiea","https://maps.app.goo.gl/wcFshSc6iE7EUV7F7","920016097","2026-02-02 10:00:20.237","2026-02-02 10:00:20.237"
"163","المنطقة الجنوبية ","southern region","سراة عبيدة - طريق الملك خالد","Sarat Abidah - King Khalid Road","سراة عبيدة - طريق الملك خالد","Sarat Abidah - King Khalid Road","https://maps.app.goo.gl/JczBr3tU3eqDDo8u5","920016097","2026-02-02 10:01:30.633","2026-02-02 10:01:30.633"
"164","المنطقة الجنوبية ","southern region","أبو عريش - طريق الأمير سلطان","Abu Arish - Prince Sultan Road","أبو عريش - طريق الأمير سلطان","Abu Arish - Prince Sultan Road","https://maps.app.goo.gl/F96xTKEXJUgRAp738","920016097","2026-02-02 10:03:50.199","2026-02-02 10:03:50.199"
"165","المنطقة الغربية ","Western Region","جدة - أبحر","Jeddah - Abhur","جدة - أبحر","Jeddah - Abhur","https://maps.app.goo.gl/FnZ36XjyvvFJU59T7","920016097","2026-02-02 10:04:36.893","2026-02-02 10:04:36.893"
"166","المنطقة الغربية ","Western Region","جدة - السامر","Jeddah - Al-Samar","جدة - السامر","Jeddah - Al-Samar","https://maps.app.goo.gl/JaTdAjaHVomAnGNJ8","920016097","2026-02-02 10:05:29.440","2026-02-02 10:05:29.440"
"167","المنطقة الغربية ","Western Region","مكة - برج الساعة","Makkah Royal Clock Tower","مكة - برج الساعة","Makkah Royal Clock Tower","https://maps.app.goo.gl/8oJdZJUyvNxyu2qw5","920016097","2026-02-02 10:08:10.351","2026-02-02 10:08:10.351"
"168","المنطقة الغربية ","Western Region","مكة - ولي العهد","Makkah - Crown Prince","مكة - ولي العهد","Makkah - Crown Prince","https://maps.app.goo.gl/qrhswpxQd9ELmL2h7","920016097","2026-02-02 10:09:41.105","2026-02-02 10:09:41.105"
"169","المنطقة الغربية ","Western Region","مكة - الفيحاء ","Makkah  - Al-Fayha","مكة - الفيحاء ","Makkah  - Al-Fayha","https://maps.app.goo.gl/qRUiByokCMwRM3KF7","920016097","2026-02-02 10:11:05.561","2026-02-02 10:11:05.561"
"170","المنطقة الغربية ","Western Region","المدينة المنورة - العريض","Medina - Al-Aridh","المدينة المنورة - العريض","Medina - Al-Aridh","https://maps.app.goo.gl/2yUXFBiLFWoYD6mY9","920016097","2026-02-02 10:18:14.510","2026-02-02 10:18:14.510"
"171","المنطقة الوسطى"," central region","القويعية - الربوة","Al-Quway'iyah - Al-Rabwah","القويعية - الربوة","Al-Quway'iyah - Al-Rabwah","https://maps.app.goo.gl/9CMz3GcCoiCCXdCM9","920016097","2026-02-02 10:20:13.500","2026-02-02 10:20:13.500"
"172","المنطقة الغربية ","Western Region","الطائف - جبره ","Taif - Jabra","الطائف - جبره ","Taif - Jabra","https://maps.app.goo.gl/FLwWrqGEMUC5GsFv7","920016097","2026-02-02 10:21:56.335","2026-02-02 10:21:56.335"
"173","المنطقة الوسطى"," central region","المليداء - المليداء","Al-Mulayda - Al-Mulayda","المليداء - المليداء","Al-Mulayda - Al-Mulayda","https://maps.app.goo.gl/UfU1PAXoxXBCMa8L6","920016097","2026-02-02 10:23:37.958","2026-02-02 10:23:37.958"
"174","المنطقة الجنوبية ","southern region","تثليث - الزهور","Tathlith - Alzuhur","تثليث - الزهور","Tathlith - Alzuhur","https://maps.app.goo.gl/y35P2vS4h1BNg3rp7","920016097","2026-02-02 10:26:16.137","2026-02-02 10:26:16.137"
"175","المنطقة الجنوبية ","southern region","صامطة - حطين ","Samtah - Hittin","صامطة - حطين ","Samtah - Hittin","https://maps.app.goo.gl/n47758KcFhQX1Ke88","920016097","2026-02-02 10:28:45.900","2026-02-02 10:28:45.900"
"176","المنطقة الجنوبية ","southern region","ظهران الجنوب - الورود","Dhahran Al Janoub - Al Wurud","ظهران الجنوب - الورود","Dhahran Al Janoub - Al Wurud","https://maps.app.goo.gl/xDTatvjMgnY7oJuCA","920016097","2026-02-02 10:30:14.010","2026-02-02 10:30:14.010"
"177","المنطقة الجنوبية ","southern region","سبت العلايا - العزيزية","Sabt Al-Alaya - Al-Aziziyah","سبت العلايا - العزيزية","Sabt Al-Alaya - Al-Aziziyah","https://maps.app.goo.gl/g7zhCKGqyjYTcjs56","920016097","2026-02-02 10:31:16.886","2026-02-02 10:31:16.886"
